,SRI
Price/Earnings (TTM),
Price/Sales (TTM),0.76773
Price/Book (MRQ),2.53549
Price/Cash Flow (TTM),45.26723
5yr Low,13.64
5yr High,38.2
5yr Avg Return,0.020466666666666668
EPS Growth 5yr,-0.4612175
Revenue Growth 5yr,0.0205429
Dividend Growth 5yr,
Short Int Current Month,377969.0
Short Int Prev Month,713846.0
Short Int Pct of Float,0.0145276
Days to Cover,1.81713
Float,26.09568
Shares Outstanding,27.32656
Institutions Holding Shares,159.0
% Held by Institutions,1.017236
FCF Growth 5yr,0.023451873636135507
