,OLLI
% Below High,0.1677
% Held by Institutions,1.0843
52-Wk Range,['37.67 - 72.27']
Annual Dividend $,
Annual Dividend %,
Ask,60.25
Ask Size,100.0
Ask close,63.73
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,56.0
Bid Size,100.0
Bid close,56.6
Change Since Close,0.10| |(0.17%)
Closing Price,60.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,60.25
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.35
Prev Close,60.15
Shares Outstanding,62.6M
Short Interest,0.1417
Today's Open,
Volume,1.0
Volume 10-day Avg,1108131.0
Volume Past Day,(Light)
