,RNST
Price/Earnings (TTM),14.68419
Price/Sales (TTM),3.77169
Price/Book (MRQ),1.09672
Price/Cash Flow (TTM),11.28334
5yr Low,18.22
5yr High,49.78
5yr Avg Return,8.333333333332712e-05
EPS Growth 5yr,0.0755794
Revenue Growth 5yr,0.0732493
Dividend Growth 5yr,0.0468318
Short Int Current Month,1192118.0
Short Int Prev Month,1213394.0
Short Int Pct of Float,0.021950400000000002
Days to Cover,5.9208
Float,54.49531
Shares Outstanding,55.9531
Institutions Holding Shares,269.0
% Held by Institutions,0.780425
FCF Growth 5yr,0.5584220408203947
