,RNST
% Below High,0.035699999999999996
% Held by Institutions,0.7804000000000001
52-Wk Range,['27.61 - 41.77']
Annual Dividend $,0.88
Annual Dividend %,0.0215
Ask,40.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,40.27
Bid Size,200.0
Day Change $,-0.73
Day Change %,-0.0178
Day High,40.89
Day Low,40.27
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",2.79
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.284
Last (size),100.0
Last (time),12:57p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.68
Prev Close,41.01
Price,40.28
Shares Outstanding,56.0M
Short Interest,0.022000000000000002
Today's Open,40.89
Volume Past Day,(Light)
