,TCBI
% Above Low,0.1847
% Held by Institutions,0.9873999999999999
52-Wk Range,['48.79 - 71.60']
Annual Dividend $,
Annual Dividend %,
Ask,57.84
Ask Size,200.0
Ask close,73.85
B/A Ratio,6.5
B/A Size,1300x200
Beta,1.4
Bid,57.8
Bid Size,1300.0
Bid close,45.51
Change Since Close,0.00| |(0.00%)
Closing Price,57.8
Day Change $,-1.74
Day Change %,-0.0292
Day High,59.41
Day Low,57.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.2
Ex-dividend Date,No dividend
Historical Volatility,0.37
Last (size),1500.0
Last (time),4:00p ET 11/28/22
Last Trade,57.8
Market Cap,2.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.61
Prev Close,59.54
Shares Outstanding,49.9M
Short Interest,0.039599999999999996
Today's Open,59.0
Volume,172904.0
Volume 10-day Avg,331240.0
Volume Past Day,(Light)
