,TCBI
Price/Earnings (TTM),18.60613
Price/Sales (TTM),3.21013
Price/Book (MRQ),1.14894
Price/Cash Flow (TTM),13.15014
5yr Low,19.1
5yr High,103.05
5yr Avg Return,-0.04785000000000001
EPS Growth 5yr,0.081513
Revenue Growth 5yr,0.0450025
Dividend Growth 5yr,
Short Int Current Month,1948669.0
Short Int Prev Month,2320188.0
Short Int Pct of Float,0.039587
Days to Cover,4.89066
Float,49.47045
Shares Outstanding,49.89921
Institutions Holding Shares,331.0
% Held by Institutions,0.987446
FCF Growth 5yr,0.18562899692135992
