,TCBI
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.7474747474747478
Growth 1yr High Est,1.6528925619834713
Growth 1yr Consensus Est,1.7001836547291096
Growth 2yr Low Est,0.9711638443256092
Growth 2yr High Est,1.159779614325069
Growth 2yr Consensus Est,1.065471729325339
Growth 5yr Low Est,0.2761556926546079
Growth 5yr High Est,0.3769349082511814
Growth 5yr Consensus Est,0.32654530045289465
Growth 5yr Actual/Est,0.5928881555754979
Growth 3yr Historic,0.5718742811134114
