,CMTL
Price/Earnings (TTM),
Price/Sales (TTM),0.66377
Price/Book (MRQ),0.68834
Price/Cash Flow (TTM),
5yr Low,8.42
5yr High,38.0
5yr Avg Return,-0.030716666666666677
EPS Growth 5yr,
Revenue Growth 5yr,-0.024472900000000002
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,521512.0
Short Int Prev Month,714638.0
Short Int Pct of Float,0.0196259
Days to Cover,5.43196
Float,26.57265
Shares Outstanding,27.77531
Institutions Holding Shares,202.0
% Held by Institutions,0.741711
FCF Growth 5yr,-2.5069044250240604
