,CMTL
% Above Low,0.38
% Held by Institutions,0.7417
52-Wk Range,['8.42 - 26.59']
Annual Dividend $,0.4
Annual Dividend %,0.0344
Ask,12.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,7.0
Bid Size,100.0
Closing Price,11.62
Day Change $,0.15
Day Change %,0.0131
Day High,11.76
Day Low,11.4
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-1.64
Ex-dividend,2022-10-18 00:00:00
Ex-dividend Date,10/18/22
Historical Volatility,0.5770000000000001
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,322.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.47
Shares Outstanding,27.8M
Short Interest,0.0196
Today's Open,11.52
Volume,22351.0
Volume 10-day Avg,97799.0
Volume Past Day,(Light)
