,DRI
Price/Earnings (TTM),20.55465
Price/Sales (TTM),1.85884
Price/Book (MRQ),8.80663
Price/Cash Flow (TTM),14.06087
5yr Low,26.15
5yr High,164.28
5yr Avg Return,0.10843333333333335
EPS Growth 5yr,0.1408539
Revenue Growth 5yr,0.0607646
Dividend Growth 5yr,0.15649570000000002
Short Int Current Month,3565200.0
Short Int Prev Month,3615064.0
Short Int Pct of Float,0.0292491
Days to Cover,3.21612
Float,121.9477
Shares Outstanding,122.3871
Institutions Holding Shares,978.0
% Held by Institutions,0.8900539999999999
FCF Growth 5yr,0.26864869951796977
