,DRI
% Below High,0.044199999999999996
% Held by Institutions,0.8901
52-Wk Range,['110.96 - 155.25']
Annual Dividend $,4.84
Annual Dividend %,0.0326
Ask,149.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,125.0
Bid Size,100.0
Closing Price,148.39
Day Change $,0.06
Day Change %,0.0004
Day High,149.04
Day Low,147.58
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.22
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.358
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,18.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.55
Prev Close,148.33
Shares Outstanding,122.4M
Short Interest,0.0292
Today's Open,148.58
Volume,335996.0
Volume 10-day Avg,1026137.0
Volume Past Day,(Light)
