,DRI
Next Earnings Announcement,2022-12-16 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.001369863013698569
Growth 1yr High Est,0.07962213225371118
Growth 1yr Consensus Est,0.0391261346200063
Growth 2yr Low Est,0.054870624048706296
Growth 2yr High Est,0.14606106612685554
Growth 2yr Consensus Est,0.10046584508778092
Growth 5yr Low Est,0.054870624048706296
Growth 5yr High Est,0.14606106612685554
Growth 5yr Consensus Est,0.10046584508778092
Growth 5yr Actual/Est,0.31363852759179833
Growth 3yr Historic,0.27290349362134275
