,AAPL
Price/Earnings (TTM),24.27197
Price/Sales (TTM),5.97511
Price/Book (MRQ),46.60129
Price/Cash Flow (TTM),21.24439
5yr Low,35.5
5yr High,182.94
5yr Avg Return,0.29069999999999996
EPS Growth 5yr,0.21575019999999998
Revenue Growth 5yr,0.1145915
Dividend Growth 5yr,0.0844718
Short Int Current Month,114431895.0
Short Int Prev Month,103178670.0
Short Int Pct of Float,0.0071986
Days to Cover,1.21464
Float,15896.63
Shares Outstanding,15908.12
Institutions Holding Shares,5465.0
% Held by Institutions,0.5797760000000001
FCF Growth 5yr,0.36954084580934365
