,AAPL
% Above Low,0.1478
% Held by Institutions,0.5798
52-Wk Range,['129.04 - 182.94']
Annual Dividend $,0.92
Annual Dividend %,0.0062
Ask,148.12
Ask Size,800.0
B/A Ratio,5.875
B/A Size,4700x800
Beta,1.2
Bid,148.11
Bid Size,4700.0
Closing Price,148.11
Day Change $,-2.96
Day Change %,-0.0196
Day High,148.88
Day Low,147.12
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.355
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,2.4T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.27
Prev Close,151.07
Shares Outstanding,15.9B
Short Interest,0.0072
Today's Open,148.31
Volume,35195860.0
Volume 10-day Avg,72685349.0
Volume Past Day,(Light)
