,CVT
% Above Low,0.6545000000000001
% Held by Institutions,0.9468000000000001
52-Wk Range,['3.30 - 10.96']
Annual Dividend $,
Annual Dividend %,
Ask,5.9
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,5.05
Bid Size,700.0
Closing Price,5.46
Day Change $,-0.06
Day Change %,-0.0109
Day High,5.51
Day Low,5.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.26
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.52
Shares Outstanding,484.6M
Short Interest,0.0209
Today's Open,5.43
Volume,56820.0
Volume 10-day Avg,338303.0
Volume Past Day,(Light)
