,CVT
Price/Earnings (TTM),
Price/Sales (TTM),4.37897
Price/Book (MRQ),1.66185
Price/Cash Flow (TTM),131.2781
5yr Low,3.3
5yr High,14.62
5yr Avg Return,-0.2039
Short Int Current Month,1154564.0
Short Int Prev Month,1788186.0
Short Int Pct of Float,0.0209066
Days to Cover,2.20829
Float,465.522
Shares Outstanding,484.6471
Institutions Holding Shares,101.0
% Held by Institutions,0.9467700000000001
FCF Growth 5yr,0.09465713152911599
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
