,IPG
% Below High,0.1371
% Held by Institutions,0.9868000000000001
52-Wk Range,['25.14 - 39.98']
Annual Dividend $,1.16
Annual Dividend %,0.0336
Ask,34.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,25.14
Bid Size,100.0
Closing Price,34.5
Day Change $,0.28
Day Change %,0.008199999999999999
Day High,34.5
Day Low,34.2
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.349
Last (size),58.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.72
Prev Close,34.22
Shares Outstanding,388.5M
Short Interest,0.0245
Today's Open,34.2
Volume,1044928.0
Volume 10-day Avg,2787875.0
Volume Past Day,(Light)
