,SSTI
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,3.0
Growth 1yr High Est,2.4210526315789473
Growth 1yr Consensus Est,2.7105263157894735
Growth 2yr Low Est,1.1071428571428572
Growth 2yr High Est,1.002834008097166
Growth 2yr Consensus Est,1.0549884326200116
Growth 5yr Low Est,0.7380952380952381
Growth 5yr High Est,0.6685560053981107
Growth 5yr Consensus Est,0.7033256217466742
Growth 5yr Actual/Est,-1.594097222222222
Growth 3yr Historic,-0.6552083333333334
