,SSTI
% Below High,0.1484
% Held by Institutions,0.6167
52-Wk Range,['22.63 - 39.28']
Annual Dividend $,
Annual Dividend %,
Ask,33.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,33.07
Bid Size,100.0
Day Change $,-0.53
Day Change %,-0.015600000000000001
Day High,34.17
Day Low,32.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),100.0
Last (time),3:21p ET 11/28/22
Market Cap,408.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",106.52
Prev Close,33.98
Price,33.45
Shares Outstanding,12.2M
Short Interest,0.03
Today's Open,33.81
Volume Past Day,(Light)
