,VMW
Price/Earnings (TTM),35.94821
Price/Sales (TTM),3.84497
Price/Book (MRQ),62.82797
Price/Cash Flow (TTM),20.55335
5yr Low,86.0
5yr High,206.8
5yr Avg Return,-0.006749999999999993
EPS Growth 5yr,0.0835712
Revenue Growth 5yr,0.1268514
Dividend Growth 5yr,
Short Int Current Month,4701431.0
Short Int Prev Month,4275275.0
Short Int Pct of Float,0.020774300000000002
Days to Cover,4.76
Float,226.1897
Shares Outstanding,424.4751
Institutions Holding Shares,1125.0
% Held by Institutions,0.477922
FCF Growth 5yr,0.17343995935474932
