,VMW
% Below High,0.1413
% Held by Institutions,0.4779
52-Wk Range,['91.53 - 136.86']
Annual Dividend $,
Annual Dividend %,
Ask,117.65
Ask Size,400.0
B/A Ratio,4.25
B/A Size,1700x400
Beta,0.7
Bid,114.54
Bid Size,1700.0
Closing Price,117.52
Day Change $,-1.74
Day Change %,-0.0146
Day High,118.77
Day Low,117.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.32
Ex-dividend Date,No dividend
Historical Volatility,0.354
Last (size),25.0
Last (time),7:00p ET 11/28/22
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.95
Prev Close,119.26
Shares Outstanding,424.6M
Short Interest,0.0208
Today's Open,117.74
Volume,786260.0
Volume 10-day Avg,989786.0
Volume Past Day,(Light)
