,HLI
Price/Earnings (TTM),18.45336
Price/Sales (TTM),3.02108
Price/Book (MRQ),4.73672
Price/Cash Flow (TTM),15.23958
5yr Low,34.32
5yr High,122.62
5yr Avg Return,0.17298333333333335
EPS Growth 5yr,0.3155885
Revenue Growth 5yr,0.2108524
Dividend Growth 5yr,0.1935868
Short Int Current Month,1011517.0
Short Int Prev Month,1293478.0
Short Int Pct of Float,0.020314600000000002
Days to Cover,2.71451
Float,49.7925
Shares Outstanding,68.65292
Institutions Holding Shares,411.0
% Held by Institutions,0.983976
FCF Growth 5yr,-0.5142500482797842
