,HLI
% Below High,0.18600000000000003
% Held by Institutions,0.9840000000000001
52-Wk Range,['74.18 - 122.62']
Annual Dividend $,2.12
Annual Dividend %,0.0212
Ask,159.16
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,98.61
Bid Size,100.0
Closing Price,99.81
Day Change $,0.55
Day Change %,0.0055000000000000005
Day High,100.2
Day Low,98.61
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.41
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",18.45
Prev Close,99.26
Shares Outstanding,68.7M
Short Interest,0.0203
Today's Open,99.37
Volume,92187.0
Volume 10-day Avg,312624.0
Volume Past Day,(Light)
