,HLI
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3490427098674521
Growth 1yr High Est,-0.2417127071823204
Growth 1yr Consensus Est,-0.29537770852488626
Growth 2yr Low Est,-0.1835711286893822
Growth 2yr High Est,0.01211268101721863
Growth 2yr Consensus Est,-0.08572922383608178
Growth 5yr Low Est,-0.1835711286893822
Growth 5yr High Est,0.01211268101721863
Growth 5yr Consensus Est,-0.08572922383608178
Growth 5yr Actual/Est,0.20930777213787774
Growth 3yr Historic,0.24513663419913412
