,CONN
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.0765171503957784
Growth 1yr High Est,-1.0664961636828645
Growth 1yr Consensus Est,-1.0715066570393215
Growth 2yr Low Est,-2.0727413338185787
Growth 2yr High Est,-4.283248081841432
Growth 2yr Consensus Est,-3.1779947078300053
Growth 5yr Low Est,-2.0727413338185787
Growth 5yr High Est,-4.283248081841432
Growth 5yr Consensus Est,-3.1779947078300053
Growth 5yr Actual/Est,13.42049219451932
Growth 3yr Historic,14.966145833333334
