,CONN
% Above Low,0.5482
% Held by Institutions,0.7315
52-Wk Range,['6.22 - 25.93']
Annual Dividend $,
Annual Dividend %,
Ask,9.65
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.4
Bid,9.63
Bid Size,200.0
Closing Price,9.63
Day Change $,0.19
Day Change %,0.020099999999999996
Day High,9.78
Day Low,9.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.19
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,230.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.07
Prev Close,9.44
Shares Outstanding,23.9M
Short Interest,0.1741
Today's Open,9.48
Volume,64277.0
Volume 10-day Avg,144893.0
Volume Past Day,(Light)
