,CONN
Price/Earnings (TTM),8.07324
Price/Sales (TTM),0.15403
Price/Book (MRQ),0.41054
Price/Cash Flow (TTM),2.89366
5yr Low,2.83
5yr High,42.65
5yr Avg Return,-0.03495000000000002
EPS Growth 5yr,
Revenue Growth 5yr,-0.0008552999999999999
Dividend Growth 5yr,
Short Int Current Month,2336173.0
Short Int Prev Month,2544425.0
Short Int Pct of Float,0.1740634
Days to Cover,11.91275
Float,17.95601
Shares Outstanding,23.90289
Institutions Holding Shares,161.0
% Held by Institutions,0.731545
FCF Growth 5yr,-0.27503927212852897
