,CMG
Price/Earnings (TTM),52.7386
Price/Sales (TTM),4.99163
Price/Book (MRQ),18.06679
Price/Cash Flow (TTM),38.60839
5yr Low,247.52
5yr High,1958.55
5yr Avg Return,0.3791166666666667
EPS Growth 5yr,0.9707084
Revenue Growth 5yr,0.1408934
Dividend Growth 5yr,
Short Int Current Month,955552.0
Short Int Prev Month,1034351.0
Short Int Pct of Float,0.0346967
Days to Cover,2.90691
Float,27.5467
Shares Outstanding,27.72111
Institutions Holding Shares,1228.0
% Held by Institutions,0.945024
FCF Growth 5yr,0.26315465580171465
