,CMG
% Below High,0.1472
% Held by Institutions,0.945
52-Wk Range,"['1,196.28 - 1,776.67']"
Annual Dividend $,
Annual Dividend %,
Ask,1516.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,1514.01
Bid Size,100.0
Closing Price,1515.2
Day Change $,6.37
Day Change %,0.0042
Day High,1519.19
Day Low,1502.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",28.73
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,42.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",52.74
Prev Close,1508.83
Shares Outstanding,27.7M
Short Interest,0.0347
Today's Open,1508.77
Volume,87499.0
Volume 10-day Avg,239859.0
Volume Past Day,(Light)
