,CMG
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.3381877022653721
Growth 1yr High Est,0.3231305695466873
Growth 1yr Consensus Est,0.3306591359060297
Growth 2yr Low Est,0.2888036455704128
Growth 2yr High Est,0.36537201976602307
Growth 2yr Consensus Est,0.32708783266821795
Growth 5yr Low Est,0.4199580266183618
Growth 5yr High Est,0.44674300232632114
Growth 5yr Consensus Est,0.4333505144723415
Growth 5yr Actual/Est,0.43405169551800554
Growth 3yr Historic,0.28318994537548964
