,BBY
% Above Low,0.33630000000000004
% Held by Institutions,0.7854000000000001
52-Wk Range,['60.79 - 116.22']
Annual Dividend $,3.52
Annual Dividend %,0.0433
Ask,81.35
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.5
Bid,81.25
Bid Size,1200.0
Closing Price,81.23
Day Change $,-1.16
Day Change %,-0.0141
Day High,83.29
Day Low,81.1
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2022-12-12 00:00:00
Ex-dividend Date,12/12/22
Historical Volatility,0.456
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,18.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.13
Prev Close,82.39
Shares Outstanding,225.1M
Short Interest,0.0341
Today's Open,82.25
Volume,2343631.0
Volume 10-day Avg,4650008.0
Volume Past Day,(Light)
