,BBY
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.3326039387308535
Growth 1yr High Est,-0.2760975609756098
Growth 1yr Consensus Est,-0.30435074985323163
Growth 2yr Low Est,-0.17777737920149228
Growth 2yr High Est,-0.07470646242850576
Growth 2yr Consensus Est,-0.12624192081499902
Growth 5yr Low Est,0.04195346811695666
Growth 5yr High Est,0.11262583757503036
Growth 5yr Consensus Est,0.07728965284599351
Growth 5yr Actual/Est,0.06902787674011149
Growth 3yr Historic,0.14215421848347448
