,PTEN
Price/Earnings (TTM),
Price/Sales (TTM),1.63902
Price/Book (MRQ),2.33221
Price/Cash Flow (TTM),8.45853
5yr Low,1.61
5yr High,25.03
5yr Avg Return,0.12296666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.08181940000000001
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,8402184.0
Short Int Prev Month,9113545.0
Short Int Pct of Float,0.0395324
Days to Cover,3.15374
Float,212.3808
Shares Outstanding,216.8217
Institutions Holding Shares,361.0
% Held by Institutions,0.95865
FCF Growth 5yr,0.038575924046184484
