,PTEN
% Below High,0.16219999999999998
% Held by Institutions,0.9587
52-Wk Range,['6.71 - 20.53']
Annual Dividend $,0.32
Annual Dividend %,0.0182
Ask,17.2
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.4
Bid,17.19
Bid Size,300.0
Day Change $,-0.38
Day Change %,-0.0216
Day High,17.4
Day Low,16.87
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-1.45
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.674
Last (size),100.0
Last (time),11:48a ET 11/28/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.58
Price,17.2
Shares Outstanding,216.8M
Short Interest,0.0395
Today's Open,16.87
Volume Past Day,(Below Average)
