,NOTV
% Above Low,0.5596
% Held by Institutions,0.4768
52-Wk Range,['4.45 - 58.88']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,300.0
Ask close,8.51
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,6.91
Bid Size,100.0
Bid close,5.39
Change Since Close,0.12| |(1.73%)
Closing Price,6.94
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.55
Ex-dividend Date,No dividend
Historical Volatility,1.348
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,7.06
Market Cap,177.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.94
Shares Outstanding,25.6M
Short Interest,0.0832
Today's Open,
Volume,1343.0
Volume 10-day Avg,1966741.0
Volume Past Day,(Light)
