,NOTV
Price/Earnings (TTM),
Price/Sales (TTM),0.41571
Price/Book (MRQ),0.28851
Price/Cash Flow (TTM),
5yr Low,1.18
5yr High,60.66
5yr Avg Return,0.9129
EPS Growth 5yr,
Revenue Growth 5yr,0.3438971
Dividend Growth 5yr,
Short Int Current Month,1579578.0
Short Int Prev Month,1644494.0
Short Int Pct of Float,0.08316599999999999
Days to Cover,6.24359
Float,19.1401
Shares Outstanding,25.59331
Institutions Holding Shares,132.0
% Held by Institutions,0.476774
FCF Growth 5yr,1.9544191795965258
