,EZPW
% Below High,0.0175
% Held by Institutions,0.9329000000000001
52-Wk Range,['5.51 - 10.27']
Annual Dividend $,
Annual Dividend %,
Ask,16.14
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,9.97
Bid Size,100.0
Closing Price,10.09
Day Change $,0.06
Day Change %,0.006
Day High,10.12
Day Low,9.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.391
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,568.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.56
Prev Close,10.03
Shares Outstanding,56.3M
Short Interest,0.0781
Today's Open,9.98
Volume,198149.0
Volume 10-day Avg,700994.0
Volume Past Day,(Light)
