,EZPW
Price/Earnings (TTM),16.55673
Price/Sales (TTM),0.6411
Price/Book (MRQ),0.82246
Price/Cash Flow (TTM),6.90352
5yr Low,3.41
5yr High,15.1
5yr Avg Return,0.019866666666666657
EPS Growth 5yr,-0.000839
Revenue Growth 5yr,0.0345088
Dividend Growth 5yr,
Short Int Current Month,4027622.0
Short Int Prev Month,4335260.0
Short Int Pct of Float,0.07810299999999999
Days to Cover,8.67037
Float,51.77668
Shares Outstanding,56.30915
Institutions Holding Shares,216.0
% Held by Institutions,0.9328730000000001
FCF Growth 5yr,1.543916744655845
