,CBRL
% Below High,0.1613
% Held by Institutions,0.8652
52-Wk Range,['81.87 - 139.90']
Annual Dividend $,5.2
Annual Dividend %,0.0443
Ask,117.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,116.2
Bid Size,100.0
Closing Price,117.33
Day Change $,1.14
Day Change %,0.0098
Day High,117.67
Day Low,115.53
Dividend Pay Date,2022-11-08 00:00:00
"EPS (TTM, GAAP)",5.67
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.401
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,116.19
Shares Outstanding,22.2M
Short Interest,0.0926
Today's Open,116.26
Volume,132808.0
Volume 10-day Avg,321535.0
Volume Past Day,(Light)
