,CBRL
Price/Earnings (TTM),20.68648
Price/Sales (TTM),0.79593
Price/Book (MRQ),5.11122
Price/Cash Flow (TTM),11.04674
5yr Low,53.61
5yr High,185.0
5yr Avg Return,-0.03171666666666667
EPS Growth 5yr,-0.0748577
Revenue Growth 5yr,0.022321
Dividend Growth 5yr,0.024823599999999998
Short Int Current Month,2012213.0
Short Int Prev Month,2180947.0
Short Int Pct of Float,0.0925555
Days to Cover,5.65232
Float,21.74429
Shares Outstanding,22.16766
Institutions Holding Shares,392.0
% Held by Institutions,0.865227
FCF Growth 5yr,2.8570604930943255
