,CBRL
Next Earnings Announcement,2022-12-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.11795774647887325
Growth 1yr High Est,0.11256117455138659
Growth 1yr Consensus Est,0.11525946051512992
Growth 2yr Low Est,0.11094737717644454
Growth 2yr High Est,0.18604598317012144
Growth 2yr Consensus Est,0.148496680173283
Growth 5yr Low Est,0.12860972686079908
Growth 5yr High Est,0.15492786281454318
Growth 5yr Consensus Est,0.14176879483767113
Growth 5yr Actual/Est,0.4877768115236227
Growth 3yr Historic,0.42610818646524756
