,LOW
Price/Earnings (TTM),20.68672
Price/Sales (TTM),1.32955
Price/Book (MRQ),
Price/Cash Flow (TTM),14.68225
5yr Low,60.0
5yr High,263.31
5yr Avg Return,0.20023333333333335
EPS Growth 5yr,0.28188030000000003
Revenue Growth 5yr,0.0816201
Dividend Growth 5yr,0.1731607
Short Int Current Month,11467157.0
Short Int Prev Month,10699105.0
Short Int Pct of Float,0.0189887
Days to Cover,2.89195
Float,604.0014
Shares Outstanding,604.7026
Institutions Holding Shares,2692.0
% Held by Institutions,0.737949
FCF Growth 5yr,0.2213647882602531
