,LOW
% Above Low,0.2401
% Held by Institutions,0.7379000000000001
52-Wk Range,['170.12 - 263.31']
Annual Dividend $,4.2
Annual Dividend %,0.0199
Ask,215.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,205.14
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,210.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-02-08 00:00:00
"EPS (TTM, GAAP)",10.2
Ex-dividend,2023-01-24 00:00:00
Ex-dividend Date,01/24/23
Historical Volatility,0.33
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,210.97
Market Cap,128.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,210.97
Shares Outstanding,604.7M
Short Interest,0.019
Today's Open,
Volume,1.0
Volume 10-day Avg,3794581.0
Volume Past Day,(Light)
