,SHOO
% Above Low,0.2646
% Held by Institutions,0.9603
52-Wk Range,['26.36 - 49.85']
Annual Dividend $,0.84
Annual Dividend %,0.024700000000000003
Ask,33.35
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.1
Bid,33.32
Bid Size,500.0
Day Change $,-0.625
Day Change %,-0.0184
Day High,34.39
Day Low,33.33
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.429
Last (size),99.0
Last (time),2:14p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.76
Prev Close,33.96
Price,33.34
Shares Outstanding,77.9M
Short Interest,0.046900000000000004
Today's Open,33.61
Volume Past Day,(Light)
