,SHOO
Price/Earnings (TTM),10.76342
Price/Sales (TTM),1.18615
Price/Book (MRQ),3.14102
Price/Cash Flow (TTM),9.78119
5yr Low,16.38
5yr High,51.56
5yr Avg Return,0.054400000000000004
EPS Growth 5yr,0.11532640000000001
Revenue Growth 5yr,0.0592322
Dividend Growth 5yr,
Short Int Current Month,3437747.0
Short Int Prev Month,4307633.0
Short Int Pct of Float,0.046943
Days to Cover,2.92192
Float,73.24689
Shares Outstanding,77.88348
Institutions Holding Shares,328.0
% Held by Institutions,0.96032
FCF Growth 5yr,-0.9427236433136755
