,TH
Price/Earnings (TTM),29.7628
Price/Sales (TTM),3.12135
Price/Book (MRQ),9.24365
Price/Cash Flow (TTM),12.16992
5yr Low,0.82
5yr High,15.67
5yr Avg Return,0.5770599999999999
Short Int Current Month,6320493.0
Short Int Prev Month,5429589.0
Short Int Pct of Float,0.23100079999999998
Days to Cover,7.47154
Float,27.36135
Shares Outstanding,97.25739
Institutions Holding Shares,164.0
% Held by Institutions,0.9647910000000001
FCF Growth 5yr,-2.2905362574671573
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
