,TH
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-3.59375
Growth 1yr High Est,-4.466666666666667
Growth 1yr Consensus Est,-4.030208333333333
Growth 2yr Low Est,-1.3992846385542168
Growth 2yr High Est,-1.6564102564102563
Growth 2yr Consensus Est,-1.5278474474822366
Growth 5yr Low Est,-0.9328564257028112
Growth 5yr High Est,-1.1042735042735041
Growth 5yr Consensus Est,-1.0185649649881576
Growth 5yr Actual/Est,-5.661506480802151
Growth 3yr Historic,-0.9402298850574713
