,TH
% Below High,0.10980000000000001
% Held by Institutions,0.9648
52-Wk Range,['2.72 - 15.67']
Annual Dividend $,
Annual Dividend %,
Ask,14.58
Ask Size,100.0
Ask close,13.99
B/A Ratio,26.0
B/A Size,2600x100
Beta,2.4
Bid,13.32
Bid Size,2600.0
Bid close,13.91
Change Since Close,0.00| |(0.00%)
Closing Price,13.95
Day Change $,0.11
Day Change %,0.0079
Day High,14.2
Day Low,13.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.805
Last (size),2700.0
Last (time),4:00p ET 11/28/22
Last Trade,13.95
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",29.76
Prev Close,13.84
Shares Outstanding,97.3M
Short Interest,0.231
Today's Open,13.68
Volume,525680.0
Volume 10-day Avg,795615.0
Volume Past Day,(Light)
