,PGNY
Price/Earnings (TTM),81.78315
Price/Sales (TTM),4.56095
Price/Book (MRQ),9.1817
Price/Cash Flow (TTM),73.4081
5yr Low,13.29
5yr High,68.32
5yr Avg Return,0.375175
Short Int Current Month,7101357.0
Short Int Prev Month,5969588.0
Short Int Pct of Float,0.0869971
Days to Cover,6.72583
Float,81.67594
Shares Outstanding,92.88324
Institutions Holding Shares,377.0
% Held by Institutions,0.938516
FCF Growth 5yr,-0.04289089727073625
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
