,PGNY
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.26086956521739124
Growth 2yr High Est,0.931034482758621
Growth 2yr Consensus Est,0.3350824587706149
Growth 5yr Low Est,-0.26086956521739124
Growth 5yr High Est,0.931034482758621
Growth 5yr Consensus Est,0.3350824587706149
Growth 5yr Actual/Est,1.4920033670033672
Growth 3yr Historic,1.537878787878788
