,PGNY
% Above Low,0.425
% Held by Institutions,0.9384999999999999
52-Wk Range,['25.67 - 53.33']
Annual Dividend $,
Annual Dividend %,
Ask,36.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,36.6
Bid Size,100.0
Day Change $,2.2
Day Change %,0.064
Day High,36.94
Day Low,35.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.684
Last (size),100.0
Last (time),10:43a ET 11/28/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",81.78
Prev Close,34.38
Price,36.58
Shares Outstanding,92.9M
Short Interest,0.087
Today's Open,35.28
Volume Past Day,(Heavy Day)
