,XEL
% Below High,0.1065
% Held by Institutions,0.7595999999999999
52-Wk Range,['56.89 - 77.66']
Annual Dividend $,1.95
Annual Dividend %,0.027999999999999997
Ask,69.63
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,69.26
Bid Size,100.0
Closing Price,69.39
Day Change $,-0.24
Day Change %,-0.0034000000000000002
Day High,69.7
Day Low,68.64
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.06
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.231
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,38.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.74
Prev Close,69.63
Shares Outstanding,547.2M
Short Interest,0.0146
Today's Open,69.27
Volume,2197604.0
Volume 10-day Avg,3106616.0
Volume Past Day,(Light)
