,XEL
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.0714285714285714
Growth 1yr High Est,0.06333333333333324
Growth 1yr Consensus Est,0.06738095238095232
Growth 2yr Low Est,0.05634920634920637
Growth 2yr High Est,0.06771682340647855
Growth 2yr Consensus Est,0.06203301487784246
Growth 5yr Low Est,0.06089208083792924
Growth 5yr High Est,0.06485352315678478
Growth 5yr Consensus Est,0.06287280199735701
Growth 5yr Actual/Est,0.0637355210470098
Growth 3yr Historic,0.02943752036493974
