,MRSN
Price/Earnings (TTM),
Price/Sales (TTM),54.73146
Price/Book (MRQ),7.13456
Price/Cash Flow (TTM),
5yr Low,1.32
5yr High,29.09
5yr Avg Return,0.40766666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.7204152
Dividend Growth 5yr,
Short Int Current Month,4725966.0
Short Int Prev Month,5397371.0
Short Int Pct of Float,0.0478922
Days to Cover,4.58803
Float,98.68371
Shares Outstanding,99.77386
Institutions Holding Shares,206.0
% Held by Institutions,0.938382
FCF Growth 5yr,1.1782933163091205
