,MRSN
% Below High,0.2168
% Held by Institutions,0.9384
52-Wk Range,['2.68 - 8.34']
Annual Dividend $,
Annual Dividend %,
Ask,10.35
Ask Size,200.0
Ask close,8.07
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,6.56
Bid Size,100.0
Bid close,5.03
Change Since Close,0.00| |(0.00%)
Closing Price,6.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.43
Ex-dividend Date,No dividend
Historical Volatility,0.8640000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.53
Market Cap,651.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.53
Shares Outstanding,99.8M
Short Interest,0.0479
Today's Open,
Volume,2.0
Volume 10-day Avg,979068.0
Volume Past Day,(Light)
