,MRSN
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.04938271604938249
Growth 1yr High Est,-0.11392405063291144
Growth 1yr Consensus Est,-0.03227066729176448
Growth 2yr Low Est,0.048220769789397155
Growth 2yr High Est,-0.2283905967450272
Growth 2yr Consensus Est,-0.09008491347781503
Growth 5yr Low Est,0.6178603848946986
Growth 5yr High Est,1.237156052978838
Growth 5yr Consensus Est,0.9275082189367684
Growth 5yr Actual/Est,0.4328166992067406
Growth 3yr Historic,0.4713286713286713
