,AMN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.6081460674157302
Growth 1yr High Est,0.43965517241379315
Growth 1yr Consensus Est,0.5239006199147617
Growth 2yr Low Est,0.12241364506157693
Growth 2yr High Est,0.10306111914102839
Growth 2yr Consensus Est,0.11273738210130266
Growth 5yr Low Est,0.3770445122227136
Growth 5yr High Est,0.42278293148702273
Growth 5yr Consensus Est,0.3999137218548681
Growth 5yr Actual/Est,0.39861986304007646
Growth 3yr Historic,0.3549310559803435
