,AMN
Price/Earnings (TTM),11.80578
Price/Sales (TTM),0.96844
Price/Book (MRQ),4.68527
Price/Cash Flow (TTM),8.76764
5yr Low,36.65
5yr High,129.12
5yr Avg Return,0.19561666666666666
EPS Growth 5yr,0.2596968
Revenue Growth 5yr,0.15935549999999998
Dividend Growth 5yr,
Short Int Current Month,4226723.0
Short Int Prev Month,4742397.0
Short Int Pct of Float,0.0983234
Days to Cover,4.64792
Float,42.98571
Shares Outstanding,43.33591
Institutions Holding Shares,581.0
% Held by Institutions,1.011303
FCF Growth 5yr,0.3601340622352855
