,AMN
% Below High,0.051399999999999994
% Held by Institutions,1.0112999999999999
52-Wk Range,['82.76 - 129.12']
Annual Dividend $,
Annual Dividend %,
Ask,124.54
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.3
Bid,118.39
Bid Size,100.0
Closing Price,122.48
Day Change $,0.61
Day Change %,0.005
Day High,123.49
Day Low,120.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.37
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.81
Prev Close,121.87
Shares Outstanding,43.3M
Short Interest,0.0983
Today's Open,121.86
Volume,182868.0
Volume 10-day Avg,615462.0
Volume Past Day,(Light)
