,CDLX
% Above Low,0.1514
% Held by Institutions,0.9405
52-Wk Range,['3.50 - 74.23']
Annual Dividend $,
Annual Dividend %,
Ask,6.41
Ask Size,200.0
B/A Ratio,15.0
B/A Size,3000x200
Beta,1.9
Bid,3.95
Bid Size,3000.0
Closing Price,4.03
Day Change $,-0.04
Day Change %,-0.0098
Day High,4.05
Day Low,3.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.03
Ex-dividend Date,No dividend
Historical Volatility,1.252
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,132.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.07
Shares Outstanding,33.2M
Short Interest,0.1361
Today's Open,4.01
Volume,389059.0
Volume 10-day Avg,983088.0
Volume Past Day,(Light)
