,CDLX
Price/Earnings (TTM),
Price/Sales (TTM),0.43667
Price/Book (MRQ),0.22939
Price/Cash Flow (TTM),
5yr Low,3.5
5yr High,161.47
5yr Avg Return,0.919
EPS Growth 5yr,
Revenue Growth 5yr,0.1881246
Dividend Growth 5yr,
Short Int Current Month,4382138.0
Short Int Prev Month,4418252.0
Short Int Pct of Float,0.1360551
Days to Cover,2.09824
Float,32.24191
Shares Outstanding,33.16585
Institutions Holding Shares,181.0
% Held by Institutions,0.940459
FCF Growth 5yr,0.14084828215262993
