,VITL
% Below High,0.29510000000000003
% Held by Institutions,0.6261
52-Wk Range,['7.89 - 19.38']
Annual Dividend $,
Annual Dividend %,
Ask,14.64
Ask Size,400.0
B/A Ratio,2.75
B/A Size,1100x400
Beta,
Bid,13.64
Bid Size,1100.0
Closing Price,13.66
Day Change $,-0.47
Day Change %,-0.0333
Day High,14.2
Day Low,13.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.11
Ex-dividend Date,No dividend
Historical Volatility,0.5810000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,555.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,14.13
Shares Outstanding,40.7M
Short Interest,0.0567
Today's Open,14.1
Volume,93042.0
Volume 10-day Avg,120059.0
Volume Past Day,(Light)
