,RIGL
Price/Earnings (TTM),
Price/Sales (TTM),1.45215
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.64
5yr High,5.5
5yr Avg Return,-0.1471
EPS Growth 5yr,
Revenue Growth 5yr,0.4890905
Dividend Growth 5yr,
Short Int Current Month,5509032.0
Short Int Prev Month,5955852.0
Short Int Pct of Float,0.0322608
Days to Cover,3.68188
Float,170.7653
Shares Outstanding,172.8363
Institutions Holding Shares,192.0
% Held by Institutions,0.752673
FCF Growth 5yr,-1.692952636117762
