,RIGL
% Above Low,0.1363
% Held by Institutions,0.7526999999999999
52-Wk Range,['0.64 - 3.52']
Annual Dividend $,
Annual Dividend %,
Ask,0.7288
Ask Size,500.0
B/A Ratio,16.0
B/A Size,8000x500
Beta,1.3
Bid,0.7256
Bid Size,8000.0
Day Change $,-0.0237
Day Change %,-0.0316
Day High,0.75
Day Low,0.715
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,1.2690000000000001
Last (size),100.0
Last (time),12:48p ET 11/28/22
Market Cap,125.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,0.7509
Price,0.7272
Shares Outstanding,172.8M
Short Interest,0.0323
Today's Open,0.75
Volume Past Day,(Light)
